Day fraction since midnight on 	pH probe (pH)	Source pressure (Pa)
0.6650017021	7.0112447739	0.0000000000
0.6650132773	7.0229959488	0.0000000000
0.6650248502	7.0270633698	0.0000000000
0.6650364259	7.0301995277	0.0000000000
0.6650480025	7.0427107811	0.0000000000
0.6650595666	7.0556797981	0.0000000000
0.6650711482	7.0657687187	0.0000000000
0.6650827176	7.0703039169	0.0000000000
0.6650942974	7.0765333176	0.0000000000
0.6651058828	7.0855484009	0.0000000000
0.6651174452	7.0964288712	0.0000000000
0.6651290314	7.1063871384	0.0000000000
0.6651405980	7.1111383438	0.0000000000
0.6651521603	7.1271615028	0.0000000000
0.6651637425	7.1446614265	0.0000000000
0.6651753185	7.1528987885	0.0000000000
0.6651868825	7.1638321877	0.0000000000
0.6651984624	7.1816954613	0.0000000000
0.6652100515	7.1926903725	0.0000000000
0.6652216127	7.1957097054	0.0000000000
0.6652331890	7.1984462738	0.0000000000
0.6652447629	7.2083697319	0.0000000000
0.6652563386	7.2169542313	0.0000000000
0.6652679108	7.2261505127	0.0000000000
0.6652794856	7.2385993004	0.0000000000
0.6652910611	7.2420802116	0.0000000000
0.6653026341	7.2465419769	0.0000000000
0.6653142094	7.2562112808	0.0000000000
0.6653257818	7.2743225098	0.0000000000
0.6653373561	7.2889318466	0.0000000000
0.6653489302	7.3031716347	0.0000000000
0.6653605068	7.3162341118	0.0000000000
t = 0
0.6653720798	7.3256344795	0.0000000000
0.6653836532	7.3299856186	0.0000000000
0.6653952274	7.3368449211	0.0000000000
0.6654068017	7.3424453735	0.0000000000
0.6654183775	7.3437724113	0.0000000000
0.6654299518	7.3418598175	0.0000000000
0.6654415249	7.3596429825	0.0000000000
0.6654530997	7.3625588417	0.0000000000
0.6654646739	7.3647451401	0.0000000000
0.6654762598	7.3666753769	0.0000000000
0.6654878219	7.3715367317	0.0000000000
0.6654993983	7.3751368523	0.0000000000
0.6655109717	7.3742499352	0.0000000000
0.6655225477	7.3799619675	0.0000000000
0.6655341331	7.3825812340	0.0000000000
0.6655456974	7.3871674538	0.0000000000
0.6655572682	7.3875598907	0.0000000000
0.6655688425	7.3880839348	0.0000000000
0.6655804182	7.3807549477	0.0000000000
0.6655919902	7.3810071945	0.0000000000
0.6656035564	7.3846759796	0.0000000000
0.6656151395	7.3852524757	0.0000000000
0.6656267143	7.3818578720	0.0000000000
0.6656382884	7.3793692589	0.0000000000
0.6656498616	7.3807172775	0.0000000000
0.6656614343	7.3828845024	0.0000000000
0.6656730101	7.3865103722	0.0000000000
0.6656845847	7.3889231682	0.0000000000
0.6656961595	7.3884234428	0.0000000000
0.6657077345	7.3812718391	0.0000000000
0.6657193105	7.3753933907	0.0000000000
0.6657308824	7.3755297661	0.0000000000
0.6657424564	7.3709564209	0.0000000000
0.6657540322	7.3695359230	0.0000000000
0.6657656075	7.3718624115	0.0000000000
0.6657771707	7.3735504150	0.0000000000
0.6657887543	7.3690533638	0.0000000000
0.6658003269	7.3697957993	0.0000000000
0.6658119014	7.3729825020	0.0000000000
0.6658234858	7.3747749329	0.0000000000
0.6658350504	7.3790960312	0.0000000000
t = 0
0.6658466256	7.3795828819	0.0000000000
0.6658581993	7.3764190674	0.0000000000
0.6658697753	7.3730516434	0.0000000000
0.6658813479	7.3709220886	0.0000000000
0.6658929214	7.3696937561	0.0000000000
0.6659044966	7.3623495102	0.0000000000
0.6659160727	7.3577656746	0.0000000000
0.6659276463	7.3498992920	0.0000000000
0.6659392191	7.3456335068	0.0000000000
0.6659507931	7.3415379524	0.0000000000
0.6659623668	7.3348999023	0.0000000000
0.6659739417	7.3345184326	0.0000000000
0.6659855166	7.3354835510	0.0000000000
0.6659970907	7.3378443718	0.0000000000
0.6660086763	7.3386807442	0.0000000000
0.6660202391	7.3348145485	0.0000000000
0.6660318128	7.3285689354	0.0000000000
0.6660433877	7.3274526596	0.0000000000
0.6660549622	7.3199739456	0.0000000000
0.6660665369	7.3168716431	0.0000000000
0.6660781100	7.3132629395	0.0000000000
0.6660896966	7.2994661331	0.0000000000
0.6661012592	7.2998504639	0.0000000000
0.6661128338	7.3033266068	0.0000000000
0.6661244075	7.3041334152	0.0000000000
0.6661359733	7.3059082031	0.0000000000
0.6661475547	7.3035402298	0.0000000000
0.6661591444	7.3010687828	0.0000000000
0.6661706961	7.2945094109	0.0000000000
0.6661822719	7.2793555260	0.0000000000
0.6661938525	7.2672748566	0.0000000000
0.6662054267	7.2628631592	0.0000000000
0.6662169933	7.2627530098	0.0000000000
0.6662285748	7.2608985901	0.0000000000
0.6662401505	7.2651033401	0.0000000000
0.6662517252	7.2721691132	0.0000000000
0.6662632992	7.2688961029	0.0000000000
0.6662748733	7.2687916756	0.0000000000
0.6662864480	7.2610540390	0.0000000000
0.6662980250	7.2531824112	0.0000000000
0.6663095951	7.2505860329	0.0000000000
0.6663211704	7.2494387627	0.0000000000
0.6663327445	7.2442860603	0.0000000000
0.6663443185	7.2471561432	0.0000000000
0.6663558932	7.2497663498	0.0000000000
0.6663674734	7.2460436821	0.0000000000
0.6663790528	7.2386679649	0.0000000000
0.6663906160	7.2351260185	0.0000000000
0.6664021906	7.2330155373	0.0000000000
0.6664137650	7.2323851585	0.0000000000
0.6664253379	7.2369179726	0.0000000000
0.6664369132	7.2319188118	0.0000000000
0.6664484874	7.2260017395	0.0000000000
0.6664600608	7.2198023796	0.0000000000
0.6664716356	7.2150068283	0.0000000000
0.6664832054	7.2115945816	0.0000000000
0.6664947849	7.2070279121	0.0000000000
0.6665063585	7.2029261589	0.0000000000
0.6665179331	7.2045464516	0.0000000000
0.6665295098	7.2067008018	0.0000000000
0.6665410821	7.2037110329	0.0000000000
0.6665526553	7.2008442879	0.0000000000
0.6665642293	7.1989331245	0.0000000000
0.6665758041	7.1978602409	0.0000000000
0.6665873784	7.1949076653	0.0000000000
0.6665989529	7.1936554909	0.0000000000
0.6666105273	7.1931381226	0.0000000000
0.6666221048	7.1952061653	0.0000000000
0.6666336754	7.1909642220	0.0000000000
0.6666452496	7.1845216751	0.0000000000
0.6666568374	7.1818332672	0.0000000000
0.6666683988	7.1774005890	0.0000000000
0.6666799723	7.1782174110	0.0000000000
0.6666915479	7.1822643280	0.0000000000
0.6667031206	7.1765618324	0.0000000000
0.6667146955	7.1649794579	0.0000000000
0.6667262695	7.1525187492	0.0000000000
0.6667378439	7.1458849907	0.0000000000
0.6667494180	7.1421627998	0.0000000000
0.6667609924	7.1314954758	0.0000000000
0.6667725668	7.1284108162	0.0000000000
0.6667841406	7.1306595802	0.0000000000
0.6667957161	7.1320643425	0.0000000000
0.6668072893	7.1257619858	0.0000000000
0.6668188636	7.1202940941	0.0000000000
0.6668304385	7.1191740036	0.0000000000
0.6668420123	7.1064114571	0.0000000000
0.6668535977	7.1063871384	0.0000000000
0.6668651614	7.1003365517	0.0000000000
0.6668767355	7.0968055725	0.0000000000
0.6668883089	7.0938692093	0.0000000000
0.6668998833	7.0889472961	0.0000000000
0.6669114630	7.0813302994	0.0000000000
0.6669230246	7.0823850632	0.0000000000
0.6669346070	7.0790896416	0.0000000000
0.6669461821	7.0777111053	0.0000000000
0.6669577670	7.0816745758	0.0000000000
0.6669693255	7.0768566132	0.0000000000
0.6669808950	7.0733242035	0.0000000000
0.6669924898	7.0738682747	0.0000000000
0.6670040522	7.0737509727	0.0000000000
0.6670156272	7.0756430626	0.0000000000
0.6670272014	7.0781593323	0.0000000000
0.6670387784	7.0766944885	0.0000000000
