Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6463944608	25.1130752563	NaN
0.6464523303	24.8058662415	NaN
0.6465101925	24.4130496979	NaN
0.6465680685	23.9651546478	NaN
0.6466259505	23.5127048492	NaN
0.6466838118	23.0495319366	NaN
0.6467416900	22.5968990326	NaN
0.6467995617	22.2009773254	NaN
0.6468574193	21.7775058746	NaN
0.6469152827	21.3613491058	NaN
0.6469731806	20.9133815765	NaN
0.6470310335	20.5907630920	NaN
0.6470889074	20.1675987244	NaN
0.6471467719	19.7747898102	NaN
0.6472046464	19.4087295532	NaN
0.6472625191	18.9890937805	NaN
0.6473203863	18.6395988464	NaN
0.6473782458	18.2617321014	NaN
0.6474361279	17.9099578857	NaN
0.6474939915	17.5862140656	NaN
0.6475518717	17.2431488037	NaN
0.6476097172	16.8969497681	NaN
0.6476675988	16.5490760803	NaN
0.6477254866	16.1931896210	NaN
0.6477833363	15.9174089432	NaN
0.6478412100	15.5816946030	NaN
0.6478990738	15.2341194153	NaN
0.6479569614	14.9529504776	NaN
0.6480148151	14.6244153976	NaN
0.6480726833	14.3563919067	NaN
0.6481305665	14.0238113403	NaN
0.6481884358	13.7533369064	NaN
0.6482462877	13.5230836868	NaN
0.6483041745	13.2300920486	NaN
0.6483620418	12.9475679398	NaN
0.6484199235	12.6634807587	NaN
0.6484777679	12.3995475769	NaN
0.6485356615	12.1256542206	NaN
0.6485935330	11.9007434845	NaN
0.6486513829	11.6380014420	NaN
0.6487092607	11.3563327789	NaN
0.6487671278	11.1675653458	NaN
0.6488249883	10.9061632156	NaN
0.6488828840	10.6588926315	NaN
0.6489407262	10.4250307083	NaN
0.6489986100	10.1916685104	NaN
0.6490564954	9.9675550461	NaN
0.6491143399	9.7582082748	NaN
0.6491722152	9.5484218597	NaN
0.6492300730	9.3311643600	NaN
0.6492879492	9.0941667557	NaN
0.6493458310	8.8845844269	NaN
0.6494036868	8.6935548782	NaN
0.6494615697	8.5181369781	NaN
0.6495194432	8.3396320343	NaN
0.6495773035	8.1347627640	NaN
0.6496351839	7.9500050545	NaN
0.6496930495	7.7709555626	NaN
0.6497509295	7.5708184242	NaN
0.6498087807	7.3843622208	NaN
0.6498666474	7.2226772308	NaN
0.6499245279	7.0447359085	NaN
0.6499824101	6.8700752258	NaN
0.6500402546	6.7142982483	NaN
0.6500981470	6.5439124107	NaN
0.6501560107	6.3904461861	NaN
0.6502138727	6.2224235535	NaN
0.6502717536	6.0927438736	NaN
0.6503296174	5.9158067703	NaN
0.6503874856	5.7805228233	NaN
0.6504453307	5.6480064392	NaN
0.6505032128	5.4880957603	NaN
0.6505611019	5.3672699928	NaN
0.6506189638	5.2294449806	NaN
0.6506768434	5.0921311378	NaN
0.6507347108	4.9766211510	NaN
0.6507925655	4.8369212151	NaN
0.6508504355	4.7111802101	NaN
0.6509083135	4.5787634850	NaN
0.6509661759	4.4651379585	NaN
0.6510240399	4.3387031555	NaN
0.6510819372	4.2242813110	NaN
0.6511398009	4.0898780823	NaN
0.6511976598	3.9723243713	NaN
0.6512555236	3.8539931774	NaN
0.6513134055	3.7576096058	NaN
0.6513712659	3.6371340752	NaN
0.6514291332	3.5231416225	NaN
0.6514869999	3.4294607639	NaN
0.6515448890	3.3223197460	NaN
0.6516027456	3.2161228657	NaN
0.6516606350	3.1276016235	NaN
0.6517184942	3.0336012840	NaN
0.6517763591	2.9350018501	NaN
0.6518342271	2.8384404182	NaN
0.6518920988	2.7603945732	NaN
0.6519499854	2.6546981335	NaN
0.6520078410	2.5826175213	NaN
0.6520657128	2.4930858612	NaN
0.6521235653	2.3973126411	NaN
0.6521814453	2.3153111935	NaN
0.6522393254	2.2362222672	NaN
0.6522971925	2.1550354958	NaN
0.6523550656	2.0734663010	NaN
0.6524129248	1.9982728958	NaN
0.6524708062	1.9136059284	NaN
0.6525286733	1.8511945009	NaN
0.6525865445	1.7733651400	NaN
0.6526443984	1.6970807314	NaN
0.6527022974	1.6339727640	NaN
0.6527601458	1.5631910563	NaN
0.6528180255	1.5003020763	NaN
0.6528758861	1.4298567772	NaN
0.6529337579	1.3687777519	NaN
0.6529916228	1.3045421839	NaN
0.6530494989	1.2417042255	NaN
0.6531073722	1.1790676117	NaN
0.6531652373	1.1198326349	NaN
0.6532231259	1.0593810081	NaN
0.6532809756	1.0057097673	NaN
0.6533388430	0.9497848749	NaN
0.6533967140	0.8993726969	NaN
0.6534545785	0.8416466117	NaN
0.6535124573	0.7858800292	NaN
0.6535703327	0.7427914739	NaN
0.6536281886	0.6858853698	NaN
0.6536860661	0.6341624856	NaN
0.6537439420	0.5858754516	NaN
0.6538017967	0.5399165154	NaN
0.6538596780	0.4881753922	NaN
0.6539175532	0.4494070411	NaN
0.6539754295	0.4078806639	NaN
0.6540332964	0.3680024743	NaN
0.6540911615	0.3248192668	NaN
0.6541490259	0.2887373567	NaN
0.6542068935	0.2540681064	NaN
0.6542647629	0.2245763242	NaN
0.6543226237	0.2005117089	NaN
0.6543804939	0.1837372482	NaN
0.6544383656	0.1657751948	NaN
0.6544962435	0.1543890387	NaN
0.6545541206	0.1441980153	NaN
0.6546119778	0.1346062571	NaN
0.6546698460	0.1274488568	NaN
0.6547277354	0.1204028651	NaN
0.6547855926	0.1141520068	NaN
0.6548434673	0.1088436022	NaN
0.6549013390	0.1047393605	NaN
0.6549591985	0.1001958475	NaN
0.6550170646	0.0951574370	NaN
0.6550749358	0.0917086750	NaN
0.6551328228	0.0891281068	NaN
0.6551906790	0.0858967379	NaN
0.6552485579	0.0820085853	NaN
0.6553064253	0.0790482089	NaN
0.6553642937	0.0764422938	NaN
0.6554221670	0.0742654055	NaN
0.6554800397	0.0723220780	NaN
0.6555379223	0.0699791387	NaN
0.6555957772	0.0684317797	NaN
0.6556536499	0.0668018535	NaN
0.6557115021	0.0649291426	NaN
0.6557693847	0.0632517785	NaN
0.6558272494	0.0610989965	NaN
0.6558851335	0.0591914356	NaN
0.6559430101	0.0573532246	NaN
0.6560008586	0.0561380424	NaN
0.6560587181	0.0552209802	NaN
0.6561165990	0.0542279743	NaN
0.6561744670	0.0528704934	NaN
0.6562323356	0.0515732281	NaN
0.6562902144	0.0501632579	NaN
0.6563480659	0.0486095212	NaN
0.6564059536	0.0474346206	NaN
0.6564638129	0.0460266322	NaN
0.6565216904	0.0448338576	NaN
0.6565795603	0.0435470790	NaN
0.6566374462	0.0423524119	NaN
0.6566952867	0.0418284088	NaN
0.6567531630	0.0406273082	NaN
0.6568110463	0.0399253741	NaN
0.6568688971	0.0390108526	NaN
0.6569267685	0.0380879901	NaN
0.6569846406	0.0373680554	NaN
0.6570425224	0.0367289521	NaN
0.6571003801	0.0363188833	NaN
0.6571582447	0.0358107612	NaN
0.6572161247	0.0353235230	NaN
0.6572740022	0.0346002616	NaN
0.6573318632	0.0339320712	NaN
0.6573897245	0.0330993421	NaN
0.6574476141	0.0324361436	NaN
0.6575054683	0.0319042876	NaN
0.6575633343	0.0313418619	NaN
0.6576212246	0.0305599310	NaN
0.6576790801	0.0298290681	NaN
0.6577369535	0.0292055774	NaN
0.6577948466	0.0284921173	NaN
0.6578527010	0.0281165652	NaN
0.6579105571	0.0274408758	NaN
0.6579684373	0.0270210337	NaN
0.6580263132	0.0265613142	NaN
0.6580841812	0.0261149183	NaN
0.6581420389	0.0256840568	NaN
0.6581999034	0.0251016282	NaN
0.6582577857	0.0248649456	NaN
0.6583156648	0.0238628779	NaN
0.6583735330	0.0234706774	NaN
0.6584314039	0.0227634348	NaN
0.6584892700	0.0223925523	NaN
0.6585471510	0.0218054634	NaN
0.6586050119	0.0212702509	NaN
0.6586628724	0.0207151324	NaN
0.6587207407	0.0201879572	NaN
0.6587786091	0.0197861735	NaN
0.6588364765	0.0194831863	NaN
0.6588943563	0.0190428980	NaN
0.6589522258	0.0187895428	NaN
0.6590100941	0.0184028801	NaN
0.6590679647	0.0181641597	NaN
0.6591258401	0.0178740695	NaN
0.6591837000	0.0176309329	NaN
0.6592415948	0.0172921475	NaN
0.6592994454	0.0172717776	NaN
0.6593573022	0.0169290192	NaN
0.6594151927	0.0166159440	NaN
0.6594730466	0.0162909236	NaN
0.6595309239	0.0159597155	NaN
0.6595887819	0.0156573001	NaN
0.6596466691	0.0156856384	NaN
0.6597045399	0.0150852622	NaN
0.6597624149	0.0148776202	NaN
0.6598202825	0.0145685999	NaN
0.6598781339	0.0141223548	NaN
0.6599360106	0.0139643149	NaN
0.6599938849	0.0137845874	NaN
0.6600517578	0.0135628097	NaN
0.6601096307	0.0134596694	NaN
0.6601674848	0.0132688843	NaN
0.6602253715	0.0130519886	NaN
0.6602832312	0.0129745267	NaN
