Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6034197670	0.0308695007	3.5252933502
0.6034776438	0.0310823917	3.5251789093
0.6035355371	0.0314043984	3.5250058174
0.6035934082	0.0313476250	3.5250363350
0.6036512579	0.0315352455	3.5249354839
0.6037091532	0.0317667834	3.5248110294
t=0
0.6037669944	0.0319340080	3.5247211456
0.6038248718	0.3567920327	3.3532276154
0.6038827494	5.2789835930	1.3882592916
0.6039406174	7.0500702858	0.9062584043
0.6039984939	8.4360513687	0.5900067687
0.6040563643	11.6116933823	0.0254022032
0.6041142176	12.1948995590	-0.0583041459
0.6041721061	14.3124961853	-0.3204045296
0.6042299604	14.4522380829	-0.3356249332
0.6042878380	15.7251863480	-0.4639002085
0.6043457116	16.9845428467	-0.5741313696
0.6044035782	17.4911460876	-0.6142981648
0.6044614526	18.8381481171	-0.7107127309
0.6045193166	19.9195613861	-0.7783150673
0.6045771960	20.3305740356	-0.8019497991
0.6046350690	20.8554039001	-0.8306003809
0.6046929248	21.6128196716	-0.8691075444
0.6047508168	21.9071140289	-0.8832159042
0.6048086685	22.6453685760	-0.9166400433
0.6048665572	22.8395786285	-0.9249863029
0.6049244113	23.0659198761	-0.9344884753
0.6049822874	23.4710197449	-0.9509093761
0.6050401805	23.7886619568	-0.9632773399
0.6050980389	23.9887485504	-0.9708467722
0.6051558980	24.1066951752	-0.9752303958
0.6052137938	24.0778427124	-0.9741633534
0.6052716449	24.2737255096	-0.9813408256
0.6053295160	24.3504543304	-0.9841099381
0.6053873869	24.3711662292	-0.9848533273
0.6054452622	24.3557434082	-0.9842998981
0.6055031351	24.3338241577	-0.9835117459
0.6055610019	24.2920227051	-0.9820033312
0.6056188751	24.2589054108	-0.9808032513
0.6056767438	24.1859264374	-0.9781430960
0.6057346161	24.1117362976	-0.9754164815
0.6057924717	24.0487289429	-0.9730831981
0.6058503459	23.8791255951	-0.9667205215
0.6059082279	23.7333240509	-0.9611539841
0.6059660953	23.4770984650	-0.9511501789
0.6060239645	23.3615531921	-0.9465448260
0.6060818375	23.1422863007	-0.9376409054
0.6061396978	23.0153503418	-0.9323862195
0.6061975955	22.7747287750	-0.9222193360
0.6062554475	22.4514522552	-0.9081246257
0.6063133192	22.2743988037	-0.9001876116
0.6063711771	21.8214969635	-0.8791589737
0.6064290457	21.4723625183	-0.8622094989
0.6064869270	21.1365852356	-0.8452757001
0.6065447884	20.9280796051	-0.8344374895
0.6066026864	20.5270481110	-0.8128717542
0.6066605295	20.5830287933	-0.8159402609
0.6067184035	20.0815315247	-0.7877582312
0.6067762867	19.7347660065	-0.7673313618
0.6068341502	19.2238235474	-0.7357604504
0.6068920271	19.0557708740	-0.7249782085
0.6069498994	18.5471782684	-0.6910915375
0.6070077686	18.0017776489	-0.6525574923
0.6070656304	17.7082939148	-0.6308340430
0.6071235025	17.5066528320	-0.6154922843
0.6071813889	17.1105079651	-0.5843310356
0.6072392351	16.8486938477	-0.5629698038
0.6072971122	16.1793632507	-0.5054454803
0.6073549821	15.9376630783	-0.4835976064
0.6074128465	15.6628427505	-0.4580318332
0.6074707126	15.3332910538	-0.4263258278
0.6075286002	14.9731492996	-0.3903214335
0.6075864721	14.5339736938	-0.3444183171
0.6076443547	14.3462371826	-0.3241012692
0.6077022153	14.1269359589	-0.2998245656
0.6077600934	13.7979335785	-0.2622750700
0.6078179552	13.4380359650	-0.2195945084
0.6078758038	13.1520261765	-0.1844365895
0.6079336860	12.7570571899	-0.1340087056
0.6079915640	12.4751968384	-0.0966428444
0.6080494350	11.8379468918	-0.0077176215
0.6081072993	11.1594314575	0.0941578299
0.6081651640	10.7247056961	0.1635891795
0.6082230465	10.5460166931	0.1931163520
0.6082809058	10.3212718964	0.2310968190
0.6083387804	10.0943450928	0.2704218626
0.6083966401	9.7429656982	0.3333064020
0.6084545415	9.3610124588	0.4045092165
0.6085123939	9.2317962646	0.4292903244
0.6085702575	8.9371414185	0.4871497154
0.6086281281	8.7659292221	0.5216509700
0.6086860087	8.5257244110	0.5711762905
0.6087438612	8.2147569656	0.6372885704
0.6088017440	8.1334533691	0.6549543738
0.6088596023	7.8596200943	0.7156422138
0.6089174883	7.5202736855	0.7934602499
0.6089753752	7.2287144661	0.8627066612
0.6090332185	7.1301465034	0.8866295218
0.6090910894	6.9427280426	0.9328466058
0.6091489674	6.6684718132	1.0022385120
0.6092068377	6.5600843430	1.0302515030
0.6092647016	6.3207349777	1.0933214426
0.6093225722	6.1519026756	1.1388306618
0.6093804392	6.0349473953	1.1708612442
0.6094383307	5.8554859161	1.2208278179
0.6094961953	5.5593323708	1.3054971695
0.6095540609	5.2824025154	1.3872343302
0.6096119289	5.0907702446	1.4452878237
0.6096698049	4.9552378654	1.4870997667
0.6097276840	4.7973399162	1.5366133451
0.6097855385	4.6895389557	1.5709204674
0.6098434167	4.5017061234	1.6316893101
0.6099012883	4.3905110359	1.6682667732
0.6099591382	4.3327546120	1.6874449253
0.6100170206	4.1498780251	1.7489886284
0.6100748787	4.0112819672	1.7964717150
0.6101327699	3.8303382397	1.8595750332
0.6101906399	3.6744782925	1.9149582386
0.6102485037	3.5238227844	1.9694124460
0.6103063614	3.3400452137	2.0370862484
0.6103642603	3.1295616627	2.1163129807
0.6104221131	2.9840042591	2.1721963882
0.6104799875	3.0525422096	2.1457700729
0.6105378710	2.8903579712	2.2086310387
0.6105957300	2.8348984718	2.2303881645
0.6106535849	2.6901371479	2.2878153324
0.6107114660	2.5192551613	2.3568055630
0.6107693212	2.4512121677	2.3846437931
0.6108271924	2.3904457092	2.4096837044
0.6108850747	2.3007216454	2.4469668865
0.6109429334	2.1564433575	2.5077049732
0.6110008336	2.0955059528	2.5336525440
0.6110586724	1.9315253496	2.6043565273
0.6111165619	1.8158637285	2.6550080776
0.6111744246	1.8177971840	2.6541559696
0.6112322856	1.6895642281	2.7110676765
0.6112901640	1.6027563810	2.7500576973
0.6113480523	1.5183051825	2.7883522511
0.6114058940	1.4636456966	2.8133301735
0.6114637718	1.4009757042	2.8421561718
0.6115216336	1.3289989233	2.8755118847
0.6115795254	1.1663681269	2.9518694878
0.6116373817	1.1044082642	2.9813258648
0.6116952681	1.0496665239	3.0075201988
0.6117531236	1.0126585960	3.0253193378
0.6118110094	1.0069826841	3.0280556679
0.6118688709	0.9290597439	3.0657973289
0.6119267503	0.8327452540	3.1129012108
0.6119846104	0.7576763630	3.1499662399
0.6120424835	0.7536610365	3.1519575119
0.6121003358	0.7426450253	3.1574251652
0.6121582373	0.6714250445	3.1929364204
0.6122160753	0.5436956286	3.2573330402
0.6122739570	0.5156955719	3.2715723515
0.6123318369	0.4353812039	3.3126628399
0.6123897047	0.4035336077	3.3290586472
0.6124475688	0.3470159173	3.3582985401
0.6125054569	0.2772345841	3.3946549892
0.6125633172	0.2821768224	3.3920707703
0.6126211881	0.2663110793	3.4003717899
0.6126790561	0.2408006936	3.4137496948
0.6127369150	0.2069979608	3.4315347672
0.6127947897	0.1677073091	3.4522914886
0.6128526483	0.1527335644	3.4602258205
0.6129105500	0.1362714171	3.4689640999
0.6129684058	0.1433464736	3.4652066231
0.6130262758	0.1359030008	3.4691598415
0.6130841516	0.1271328032	3.4738218784
0.6131420000	0.1135110036	3.4810719490
0.6131998692	0.1099988148	3.4829430580
0.6132577559	0.1021885797	3.4871065617
0.6133156308	0.1018930823	3.4872641563
0.6133734989	0.0981141925	3.4892799854
0.6134313709	0.0926276818	3.4922082424
0.6134892341	0.0899928212	3.4936151505
0.6135470943	0.0909268335	3.4931163788
0.6136049733	0.0878086388	3.4947817326
0.6136628422	0.0828735158	3.4974186420
0.6137207020	0.0792234465	3.4993698597
0.6137785918	0.0765381381	3.5008058548
0.6138364593	0.0744218379	3.5019378662
0.6138943201	0.0737858862	3.5022780895
0.6139522261	0.0720614269	3.5032007694
0.6140100618	0.0699715689	3.5043191910
0.6140679384	0.0682487264	3.5052413940
0.6141258020	0.0675219223	3.5056304932
0.6141836839	0.0667114556	3.5060644150
0.6142415631	0.0651655421	3.5068922043
0.6142994240	0.0641051084	3.5074601173
0.6143572725	0.0613228418	3.5089504719
0.6144151442	0.0613206178	3.5089516640
0.6144730322	0.0588590875	3.5102705956
0.6145309013	0.0576877408	3.5108983517
0.6145887738	0.0569777973	3.5112788677
0.6146466291	0.0559347831	3.5118379593
0.6147045071	0.0552574471	3.5122010708
0.6147623789	0.0566860102	3.5114352703
0.6148202567	0.0545441397	3.5125834942
0.6148781176	0.0538504533	3.5129554272
0.6149359835	0.0526339673	3.5136077404
0.6149938453	0.0512647256	3.5143420696
0.6150517322	0.0502019264	3.5149121284
0.6151095904	0.0493623577	3.5153625011
0.6151674654	0.0478172041	3.5161914825
0.6152253249	0.0467885807	3.5167434216
0.6152832166	0.0459857583	3.5171742439
0.6153410807	0.0451887846	3.5176019669
0.6153989497	0.0452949554	3.5175449848
0.6154568078	0.0440716296	3.5182015896
0.6155146822	0.0436394624	3.5184335709
0.6155725595	0.0424891897	3.5190510750
0.6156304334	0.0424003750	3.5190987587
0.6156882977	0.0417928845	3.5194249153
0.6157461591	0.0420384482	3.5192930698
0.6158040545	0.0415073596	3.5195782185
0.6158619129	0.0412151851	3.5197350979
0.6159197731	0.0410651043	3.5198156834
0.6159776593	0.0402299389	3.5202641487
0.6160355144	0.0403049700	3.5202238560
0.6160933966	0.0396088324	3.5205976963
0.6161512666	0.0390450321	3.5209004879
0.6162091342	0.0386184342	3.5211296082
0.6162670039	0.0382393524	3.5213332176
0.6163248788	0.0381456949	3.5213835239
0.6163827311	0.0395560004	3.5206260681
