Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6164406277	0.0376472324	3.5216512680
0.6164984743	0.0376095064	3.5216715336
0.6165563455	0.0370613672	3.5219659805
0.6166142141	0.0371057503	3.5219421387
0.6166720969	0.0366716981	3.5221753120
0.6167299510	0.0363601558	3.5223426819
0.6167878382	0.0363326408	3.5223574638
0.6168457099	0.0361413695	3.5224602222
0.6169035833	0.0359452218	3.5225656033
0.6169614346	0.0357481912	3.5226714611
0.6170193079	0.0357903466	3.5226488113
0.6170771708	0.0358098745	3.5226383209
0.6171350467	0.0356456824	3.5227265358
0.6171929124	0.0357743725	3.5226573944
0.6172507960	0.0352747142	3.5229258537
0.6173086728	0.0354353450	3.5228395462
0.6173665412	0.0348762460	3.5231399536
0.6174244003	0.0351491347	3.5229933262
0.6174822895	0.0346787944	3.5232460499
0.6175401339	0.0351322740	3.5230023861
0.6175980105	0.0352951251	3.5229148865
0.6176558915	0.0349672101	3.5230910778
0.6177137566	0.0350692645	3.5230362415
0.6177716181	0.0353394970	3.5228910446
0.6178294919	0.0348096900	3.5231757164
0.6178873635	0.0346011482	3.5232877731
0.6179452227	0.0345203951	3.5233311653
0.6180031077	0.0349090807	3.5231223106
0.6180609741	0.0341428146	3.5235340595
0.6181188588	0.0341530181	3.5235285759
0.6181767213	0.0338872597	3.5236713886
0.6182345854	0.0338965766	3.5236663818
0.6182924559	0.0337909833	3.5237231255
0.6183503454	0.0335811339	3.5238358974
0.6184082102	0.0334915183	3.5238840580
0.6184660691	0.0333295874	3.5239710808
0.6185239416	0.0334888548	3.5238854885
0.6185818117	0.0336139649	3.5238182545
0.6186396777	0.0332923234	3.5239911079
0.6186975346	0.0333149470	3.5239789486
0.6187554247	0.0329334252	3.5241839886
0.6188132886	0.0333113968	3.5239808559
0.6188711522	0.0333295874	3.5239710808
0.6189290148	0.0328447036	3.5242316723
0.6189869069	0.0335753672	3.5238389969
0.6190447657	0.0333420113	3.5239644051
0.6191026417	0.0329742394	3.5241620541
